country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,23.70999908,Female,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.48999977,Male,Units,%,Modelled,,,Total
Afghanistan,AF,AFG,4,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.56999969,Total,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,19.43000031,Female,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.02000046,Male,Units,%,Modelled,,,Total
Albania,AL,ALB,8,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,20.75,Total,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,36.31999969,Female,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,28.32999992,Male,Units,%,Modelled,,,Total
Algeria,DZ,DZA,12,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,32.22999954,Total,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,61.81000137,Female,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,59.70999908,Male,Units,%,Modelled,,,Total
American Samoa,AS,ASM,16,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,60.72000122,Total,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,24.85000038,Female,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,28.80999947,Male,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,26.89999962,Total,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.72000027,Female,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,11.57999992,Male,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,12.149999619999999,Total,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,45.20999908,Female,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,43.34999847,Male,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,44.27000046,Total,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,39.41999817,Female,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,39.06999969,Male,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,39.24000168,Total,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,17.54000092,Female,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,25.98999977,Male,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,21.95999908,Total,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,36.22999954,Female,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,35.72000122,Male,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,35.97000122,Total,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,25.77000046,Female,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,32.79000092,Male,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,29.37000084,Total,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,22.81999969,Female,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,24.799999239999998,Male,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Prevalence of overweight among children aged 10-19 years, BMI > +1 standard deviations above the median (Crude estimate)",2022,23.87999916,Total,Units,%,Modelled,,,Total
